ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,810685
2,9.4,这个杀手不太冷,778211
3,9.5,霸王别姬,576652
4,9.4,阿甘正传,668561
5,9.5,美丽人生,386958
6,9.2,千与千寻,620442
7,9.4,辛德勒的名单,358579
8,9.2,泰坦尼克号,615243
9,9.2,盗梦空间,723469
10,9.3,机器人总动员,475159
11,9.2,海上钢琴师,569609
12,9.1,三傻大闹宝莱坞,627869
13,9.2,忠犬八公的故事,421932
14,9.2,放牛班的春天,426026
15,9.1,大话西游之大圣娶亲,437440
16,9.2,教父,324947
17,9.1,龙猫,395326
18,9.0,楚门的世界,420149
19,9.2,乱世佳人,257211
20,9.1,天堂电影院,294464
21,8.9,当幸福来敲门,510478
22,9.1,触不可及,344825
23,9.0,搏击俱乐部,386964
24,9.3,十二怒汉,160089
25,9.0,无间道,372924
26,9.1,指环王3：王者无敌,271269
27,9.2,熔炉,223775
28,8.9,怦然心动,507605
29,8.9,罗马假日,365714
30,9.0,天空之城,313328
31,9.0,少年派的奇幻漂流,551746
32,8.9,大话西游之月光宝盒,370904
33,9.1,鬼子来了,212105
34,9.0,两杆大烟枪,259842
35,9.0,蝙蝠侠：黑暗骑士,296719
36,8.9,飞屋环游记,474716
37,9.1,星际穿越,450831
38,9.0,飞越疯人院,263545
39,9.0,活着,245126
40,9.1,窃听风暴,207539
41,9.3,海豚湾,174281
42,8.9,闻香识女人,302051
43,8.8,V字仇杀队,387692
44,8.9,美丽心灵,288101
45,9.1,教父2,175272
46,8.8,哈尔的移动城堡,324228
47,8.9,指环王2：双塔奇兵,256452
48,8.9,指环王1：魔戒再现,286033
49,8.7,天使爱美丽,457703
50,8.8,情书,350006
51,8.9,死亡诗社,257570
52,9.1,美国往事,163353
53,8.7,七宗罪,412216
54,9.0,钢琴家,190774
55,8.9,狮子王,264524
56,8.8,勇敢的心,281507
57,8.9,被嫌弃的松子的一生,255945
58,8.8,致命魔术,317792
59,9.1,辩护人,180851
60,8.7,剪刀手爱德华,456292
61,9.2,小鞋子,125705
62,8.9,音乐之声,218485
63,9.6,控方证人,70341
64,9.0,饮食男女,173121
65,8.7,低俗小说,309254
66,8.8,入殓师,302351
67,8.7,本杰明·巴顿奇事,370051
68,8.7,沉默的羔羊,327738
69,8.7,蝴蝶效应,357850
70,8.8,黑客帝国,260203
71,8.8,拯救大兵瑞恩,218536
72,8.9,玛丽和马克思,222314
73,8.7,西西里的美丽传说,317332
74,9.1,素媛,155965
75,8.7,心灵捕手,249059
76,8.8,幽灵公主,218388
77,8.8,第六感,216525
78,8.7,阳光灿烂的日子,251126
79,8.7,让子弹飞,586409
80,8.8,春光乍泄,222490
81,8.7,大鱼,233634
82,9.2,大闹天宫,88844
83,8.7,射雕英雄传之东成西就,255564
84,8.6,重庆森林,299238
85,8.8,阳光姐妹淘,248984
86,8.9,上帝之城,148288
87,8.6,禁闭岛,329688
88,8.7,甜蜜蜜,216039
89,8.6,致命ID,291034
90,8.6,告白,314740
91,8.9,一一,141471
92,8.6,加勒比海盗,308802
93,8.7,爱在黎明破晓前,201082
94,8.6,阿凡达,495801
95,9.0,狩猎,109820
96,8.7,布达佩斯大饭店,278961
97,8.8,风之谷,163126
98,8.6,断背山,295671
99,8.7,萤火虫之墓,189570
100,8.7,爱在日落黄昏时,183992
101,8.7,猫鼠游戏,198928
102,9.2,摩登时代,78399
103,8.8,侧耳倾听,153243
104,8.8,末代皇帝,144562
105,8.7,驯龙高手,264240
106,8.6,哈利·波特与魔法石,225698
107,8.7,超脱,157341
108,9.0,海洋,94236
109,8.6,幸福终点站,211455
110,8.8,燃情岁月,141085
111,8.8,穿条纹睡衣的男孩,124555
112,8.7,菊次郎的夏天,162544
113,8.7,谍影重重3,167271
114,8.6,电锯惊魂,183669
115,8.5,神偷奶爸,341402
116,8.6,倩女幽魂,225068
117,8.5,真爱至上,289496
118,8.7,消失的爱人,317471
119,8.7,借东西的小人阿莉埃蒂,199461
120,8.6,岁月神偷,286143
121,8.6,雨人,196051
122,8.9,虎口脱险,99926
123,9.1,七武士,68943
124,8.5,贫民窟的百万富翁,373075
125,8.7,恐怖直播,191112
126,8.6,东邪西毒,231289
127,8.5,记忆碎片,255528
128,8.7,疯狂原始人,345869
129,8.6,杀人回忆,187518
130,8.6,怪兽电力公司,218082
131,8.8,红辣椒,113083
132,8.8,卢旺达饭店,108012
133,8.6,穿越时空的少女,171067
134,8.8,魂断蓝桥,120954
135,8.5,黑天鹅,386704
136,8.5,恋恋笔记本,256019
137,8.5,猜火车,226841
138,9.2,疯狂动物城,447421
139,8.8,喜宴,122729
140,8.7,英雄本色,134053
141,8.4,傲慢与偏见,274635
142,8.9,雨中曲,85460
143,8.7,教父3,118020
144,9.0,完美的世界,71448
145,8.9,小森林 夏秋篇,107986
146,8.4,喜剧之王,274510
147,8.7,玩具总动员3,180155
148,8.7,纵横四海,128384
149,8.7,萤火之森,138950
150,8.6,人工智能,175344
151,8.8,我是山姆,92132
152,8.4,香水,253653
153,8.4,冰川时代,249454
154,8.7,浪潮,117944
155,8.6,撞车,161893
156,8.7,7号房的礼物,152250
157,8.6,哈利·波特与死亡圣器(下),250590
158,8.5,朗读者,260103
159,8.4,花样年华,220485
160,9.0,追随,71107
161,8.7,碧海蓝天,102326
162,8.4,秒速5厘米,265991
163,8.7,一次别离,120418
164,8.7,罗生门,110413
165,8.7,梦之安魂曲,100697
166,8.5,战争之王,160630
167,8.6,可可西里,117940
168,8.6,心迷宫,135128
169,8.6,超能陆战队,331700
170,8.3,唐伯虎点秋香,283911
171,8.6,海盗电台,156392
172,8.6,时空恋旅人,172265
173,8.5,谍影重重2,145380
174,8.5,谍影重重,175949
175,8.5,蝙蝠侠：黑暗骑士崛起,268916
176,8.5,阿飞正传,160225
177,8.8,地球上的星星,71163
178,9.1,迁徙的鸟,48846
179,8.6,荒野生存,117133
180,8.7,荒蛮故事,110620
181,8.7,绿里奇迹,96622
182,8.5,勇闯夺命岛,130734
183,8.3,恐怖游轮,279600
184,8.9,小森林 冬春篇,93233
185,8.8,惊魂记,73011
186,8.6,达拉斯买家俱乐部,150567
187,8.4,魔女宅急便,174003
188,8.6,燕尾蝶,101469
189,8.6,卡萨布兰卡,113592
190,8.5,再次出发之纽约遇见你,146263
191,8.5,这个男人来自地球,158455
192,8.8,未麻的部屋,79183
193,8.4,英国病人,162867
194,8.6,爆裂鼓手,207965
195,9.2,东京物语,44375
196,8.4,变脸,197143
197,8.5,终结者2：审判日,128507
198,8.5,被解救的姜戈,237977
199,8.7,牯岭街少年杀人事件,91907
200,8.7,末路狂花,92904
201,8.6,叫我第一名,99428
202,8.5,E.T. 外星人,138802
203,9.0,忠犬八公物语,48555
204,8.8,哪吒闹海,70826
205,8.4,发条橙,170283
206,8.3,穆赫兰道,211664
207,8.3,源代码,375108
208,8.4,青蛇,196065
209,8.5,黑客帝国3：矩阵革命,139160
210,8.4,新龙门客栈,164789
211,8.6,非常嫌疑犯,104619
212,8.4,美国丽人,168201
213,9.1,黄金三镖客,45344
214,8.6,上帝也疯狂,87786
215,9.2,城市之光,37472
216,8.4,无耻混蛋,203503
217,8.2,初恋这件小事,416856
218,8.9,勇士,79711
219,9.0,爱·回家,43080
220,8.3,曾经,189057
221,8.2,蓝色大门,253840
222,8.5,麦兜故事,117473
223,8.6,无敌破坏王,169639
224,8.4,暖暖内含光,132196
225,8.6,蝴蝶,89346
226,8.9,与狼共舞,52105
227,8.7,大卫·戈尔的一生,76770
228,8.6,巴黎淘气帮,97972
229,8.3,国王的演讲,308892
230,8.5,遗愿清单,112494
231,8.5,血钻,115722
232,8.5,模仿游戏,225390
233,8.5,偷拐抢骗,105856
234,8.3,夜访吸血鬼,182179
235,8.4,荒岛余生,119140
236,8.3,爱在暹罗,206572
237,8.7,中央车站,71066
238,8.2,疯狂的石头,277268
239,8.7,千钧一发,73143
240,8.5,月球,128780
241,8.6,枪火,87048
242,8.1,两小无猜,297863
243,8.7,爱在午夜降临前,100779
244,8.4,罪恶之城,130537
245,8.8,寿司之神,72861
246,9.0,我爱你,48871
247,8.5,廊桥遗梦,87984
248,8.4,角斗士,118853
249,8.2,假如爱有天意,210968
250,8.5,黑鹰坠落,98155
